request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,project_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens,error
req_01kfs054pqfgbv12gzjnbfr9nz,1769291813591,429,0,0.003851,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99278, Requested 1575. Please try again in 12m16.992s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrzp59her3bm8c8tz463x63,1769291322673,200,0.472076,0.528277,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,1546,1546,0,0,36
req_01kfrzac0re29rstx9g3bhfdnq,1769290936344,429,0,0.00191,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98710, Requested 1578. Please try again in 4m8.832s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrza9yfe28ba9pssm8xe8t2,1769290934223,429,0,0.001519,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98713, Requested 1578. Please try again in 4m11.423999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrza7vre27r0xw8epyhytpf,1769290932088,429,0,0.001511,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98715, Requested 1578. Please try again in 4m13.152s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrz9mk4ejptvszgp3ve6vcv,1769290912356,429,0,0.004531,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98738, Requested 1580. Please try again in 4m34.752s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrz9jgte26811cn4ssqdtpt,1769290910234,429,0,0.002,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98741, Requested 1580. Please try again in 4m37.344s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrz9gdke25tfcg7de22qzbz,1769290908083,429,0,0.003691,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98743, Requested 1580. Please try again in 4m39.072s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrz3ka9exws9dssf24tvmd2,1769290714441,429,0,0.001877,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98967, Requested 1580. Please try again in 7m52.608s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrz3h6qexwse07w0313wsf4,1769290712279,429,0,0.001925,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98970, Requested 1580. Please try again in 7m55.2s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrz3f1xexwvn2xc1153za6v,1769290710077,429,0,0.002159,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98972, Requested 1580. Please try again in 7m56.928s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01kfrz29b8exktxe8q2rnnc2da,1769290671464,429,0,0.003842,llama-3.3-70b-versatile,key_01keyxqjp3e1ebf0jkbprdkp0b,project_01jtka6awkeasstje8wfvynb71,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jdq75109enktb629nmv0krb3` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99017, Requested 1580. Please try again in 8m35.808s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
